id,name,supertype,subtypes,hp,types,evolvesFrom,attacks,weaknesses,resistances,set,rarity,nationalPokedexNumbers,tcgplayer_holofoil_low,tcgplayer_holofoil_mid,tcgplayer_holofoil_high,tcgplayer_reverseHolofoil_low,tcgplayer_reverseHolofoil_mid,tcgplayer_reverseHolofoil_high,cardmarket_averageSellPrice,cardmarket_lowPrice,cardmarket_trendPrice
sm9-3,Weedle,Pokémon,Basic,50,Grass,,Reckless Charge,Fire,,Team Up,Common,13,,,,0.1,0.3,1.24,0.16,0.02,0.1
sm1-2,Metapod,Pokémon,Stage 1,80,Grass,Caterpie,"Iron Defense, Bug Bite",Fire,,Sun & Moon,Uncommon,11,,,,0.01,0.25,2.55,0.09,0.02,0.1
mcd19-3,Magmar,Pokémon,Basic,80,Fire,,"Controlled Burn, Flamethrower",Water,,McDonald's Collection 2019,,126,1.76,4.88,8.99,,,,1.39,0.04,1.24
dp3-3,Charizard,Pokémon,Stage 2,130,Fire,Charmeleon,Blast Burn,Water,Fighting,Secret Wonders,Rare Holo,6,67.89,88.42,145.74,30.0,49.09,109.99,27.87,1.0,25.0
base1-1,Alakazam,Pokémon,Stage 2,80,Psychic,Kadabra,Confuse Ray,Psychic,,Base,Rare Holo,65,25.0,41.0,99.99,,,,500.72,18.0,270.29
ex8-1,Altaria,Pokémon,Stage 1,70,Colorless,Swablu,"Double Wing Attack, Dive",Lightning,Fighting,Deoxys,Rare Holo,334,12.0,19.99,29.99,11.77,12.0,26.97,5.43,0.99,7.21
pop5-1,Ho-Oh,Pokémon,Basic,80,Fire,,"Fire Wing, Fire Blast",Water,,POP Series 5,Rare,250,8.28,11.46,36.82,,,,19.98,9.99,27.5
xy10-1,Shuckle,Pokémon,Basic,80,Grass,,"Hide a Berry, Wrap",Fire,,Fates Collide,Uncommon,213,,,,0.24,0.5,4.19,0.09,0.02,0.11
ecard2-H1,Ampharos,Pokémon,Stage 2,100,Lightning,Flaaffy,"Thundershock, Reflect Energy",Fighting,,Aquapolis,Rare Holo,181,,,,,,,23.98,8.0,32.36
base4-1,Alakazam,Pokémon,Stage 2,80,Psychic,Kadabra,Confuse Ray,Psychic,,Base Set 2,Rare Holo,65,12.99,24.09,159.99,,,,24.82,6.0,18.62
ex11-1,Beedrill δ,Pokémon,Stage 2,90,"Grass, Metal",Kakuna,Super Slash,Fire,,Delta Species,Rare Holo,15,16.5,18.78,24.99,19.27,22.68,26.99,4.82,2.2,13.68
base3-2,Articuno,Pokémon,Basic,70,Water,,"Freeze Dry, Blizzard",,Fighting,Fossil,Rare Holo,144,,,,,,,33.11,4.5,24.44
gym1-2,Brock's Rhydon,Pokémon,Stage 1,80,Fighting,Brock's Rhyhorn,Lariat,Grass,Lightning,Gym Heroes,Rare Holo,112,,,,,,,15.6,2.5,10.34
ex14-1,Banette,Pokémon,Stage 1,70,Psychic,Shuppet,Night Murmurs,Darkness,Fighting,Crystal Guardians,Rare Holo,354,1.83,4.5,5.24,2.49,5.25,7.97,3.18,0.5,2.54
sm115-1,Caterpie,Pokémon,Basic,60,Grass,,Tackle,Fire,,Hidden Fates,Common,10,,,,0.08,0.25,1.62,0.04,0.02,0.03
col1-1,Clefable,Pokémon,Stage 1,80,Colorless,Clefairy,"Fairy Power, Moon Impact",Fighting,,Call of Legends,Rare Holo,36,1.8,2.71,5.0,1.19,3.13,9.99,3.04,0.8,7.51
ex9-1,Blaziken,Pokémon,Stage 2,110,Fire,Combusken,"Searing Flame, Damage Burn",Water,,Emerald,Rare Holo,257,8.95,17.56,26.24,54.98,70.0,87.95,2.79,0.05,2.15
bw10-1,Surskit,Pokémon,Basic,50,Grass,,Sweet Scent,Fire,,Plasma Blast,Common,283,,,,0.19,0.33,4.45,0.09,0.02,0.1
ex9-2,Deoxys,Pokémon,Basic,70,Psychic,,Swift,Psychic,,Emerald,Rare Holo,386,15.02,20.63,49.96,29.0,31.21,43.15,5.4,0.99,5.23
ru1-3,Ninetales,Pokémon,Stage 1,90,Fire,Vulpix,Flame Tail,Water,,Pokémon Rumble,,38,,,,,,,14.95,9.95,15.42
xy5-3,Beedrill,Pokémon,Stage 2,120,Grass,Kakuna,"Allergic Shock, Twineedle",Fire,,Primal Clash,Rare,15,,,,0.18,0.59,1.95,0.54,0.05,0.62
pl3-3,Drifblim FB,Pokémon,"Basic, SP",80,Psychic,,Shadow Ball,Darkness,Colorless,Supreme Victors,Rare Holo,426,1.4,4.1,7.7,2.62,3.22,5.7,2.44,0.49,2.79
xy7-2,Gloom,Pokémon,Stage 1,80,Grass,Oddish,Drool,Fire,,Ancient Origins,Uncommon,44,,,,0.1,0.4,2.0,0.13,0.02,0.15
bw10-2,Masquerain,Pokémon,"Stage 1, Team Plasma",80,Grass,Surskit,Bug Bite,Fire,,Plasma Blast,Rare,284,,,,0.29,0.6,1.99,0.82,0.05,0.33
ex12-3,Cradily,Pokémon,Stage 2,100,Grass,Lileep,"Devolution Wave, Linear Attack, Mud Shot",Fire,,Legend Maker,Rare Holo,346,3.76,5.0,10.0,7.28,8.48,9.78,2.7,0.6,4.06
xy11-2,Tangrowth,Pokémon,Stage 1,130,Grass,Tangela,"Leaf Storm, Flog",Fire,,Steam Siege,Uncommon,465,,,,0.19,0.4,4.0,0.07,0.02,0.1
ex3-3,Crawdaunt,Pokémon,Stage 1,80,Water,Corphish,Guillotine,Lightning,,Dragon,Rare Holo,342,1.57,3.01,100.0,2.75,3.84,5.24,3.98,0.19,3.2
dv1-3,Dragonair,Pokémon,Stage 1,70,Dragon,Dratini,"Tail Whap, Dragon Pulse",Dragon,,Dragon Vault,Rare Holo,148,0.97,2.15,19.95,,,,4.4,0.25,4.43
xy4-1,Venonat,Pokémon,Basic,60,Grass,,Stun Spore,Fire,,Phantom Forces,Common,48,,,,0.1,0.38,29.52,0.09,0.02,0.11
bw4-1,Pinsir,Pokémon,Basic,80,Grass,,"Power Pinch, Grip and Squeeze",Fire,,Next Destinies,Rare,127,,,,0.36,0.6,1.99,0.33,0.1,0.4
bw7-1,Oddish,Pokémon,Basic,50,Grass,,"Absorb, Acid",Fire,Water,Boundaries Crossed,Common,43,,,,1.79,1.95,2.48,0.11,0.02,0.13
sm5-1,Exeggcute,Pokémon,Basic,50,Grass,,Continuous Eggsplosion,Fire,,Ultra Prism,Common,102,,,,0.15,0.31,2.95,0.09,0.02,0.06
sm8-1,Tangela,Pokémon,Basic,80,Grass,,"Gentle Slap, Bind",Fire,,Lost Thunder,Common,114,,,,0.15,0.35,1.24,0.08,0.02,0.06
hgss4-1,Aggron,Pokémon,Stage 2,140,Metal,Lairon,"Second Strike, Guard Claw",Fire,Psychic,HS—Triumphant,Rare Holo,306,1.5,2.73,4.04,1.98,2.4,500.0,2.69,0.4,2.14
xy5-1,Weedle,Pokémon,Basic,50,Grass,,Multiply,Fire,,Primal Clash,Common,13,,,,0.25,0.5,28.87,0.17,0.02,0.12
pl1-1,Ampharos,Pokémon,Stage 2,130,Lightning,Flaaffy,"Gigavolt, Reflect Energy",Fighting,Metal,Platinum,Rare Holo,181,3.75,8.5,13.99,3.72,5.19,9.88,4.33,0.6,4.09
det1-1,Bulbasaur,Pokémon,Basic,60,Grass,,Find a Friend,Fire,,Detective Pikachu,Common,1,0.09,0.39,8.4,,,,0.35,0.02,0.31
dv1-1,Dratini,Pokémon,Basic,40,Dragon,,Wrap,Dragon,,Dragon Vault,Rare Holo,147,0.5,1.43,6.58,,,,1.37,0.15,1.37
pl3-1,Absol G,Pokémon,"Basic, SP",70,Darkness,,"Feint Attack, Doom News",Fighting,Psychic,Supreme Victors,Rare Holo,359,4.12,6.89,12.95,4.0,7.77,10.5,7.36,1.5,6.97
xy2-1,Caterpie,Pokémon,Basic,40,Grass,,Bug Bite,Fire,,Flashfire,Common,10,,,,0.15,0.5,3.0,0.09,0.02,0.06
pop6-1,Bastiodon,Pokémon,Stage 2,130,Metal,Shieldon,Anger Revenge,Fire,Psychic,POP Series 6,Rare,411,,,,,,,1.73,0.5,1.58
ecard2-H2,Arcanine,Pokémon,Stage 1,90,Fire,Growlithe,Fire Blow,Water,,Aquapolis,Rare Holo,59,,,,,,,20.0,15.0,47.75
hgss4-2,Altaria,Pokémon,Stage 1,90,Colorless,Swablu,"Midnight Eyes, Stadium Power",Colorless,Fighting,HS—Triumphant,Rare Holo,334,1.13,1.75,2.99,1.25,2.04,17.94,3.11,0.3,4.27
pl3-2,Blaziken FB,Pokémon,"Basic, SP",80,Fire,,"Luring Flame, Vapor Kick",Water,,Supreme Victors,Rare Holo,257,5.59,7.75,19.97,6.0,9.51,14.49,6.49,0.5,5.39
ex11-2,Crobat δ,Pokémon,Stage 2,90,"Grass, Metal",Golbat,"Radar Jam, Target Attack",Psychic,,Delta Species,Rare Holo,169,3.77,6.04,14.97,10.9,13.3,17.64,3.1,0.3,2.94
pop6-2,Lucario,Pokémon,Stage 1,90,Fighting,Riolu,"Feint, Aura Sphere",Psychic,,POP Series 6,Rare,448,,,,,,,2.9,2.0,7.27
base4-2,Blastoise,Pokémon,Stage 2,100,Water,Wartortle,Hydro Pump,Lightning,,Base Set 2,Rare Holo,9,54.0,66.52,120.0,,,,74.08,25.0,64.44
ex12-2,Aggron,Pokémon,Stage 2,110,Metal,Lairon,"Heavy Blow, Bound Crush",Fire,Grass,Legend Maker,Rare Holo,306,6.0,8.97,19.99,9.3,20.19,24.99,3.73,0.9,3.79
ex7-2,Dark Ampharos,Pokémon,Stage 2,120,"Lightning, Darkness",Dark Flaaffy,"Ram, Shock Bolt",Fighting,,Team Rocket Returns,Rare Holo,181,27.03,38.7,68.99,37.24,44.58,70.0,9.83,2.49,23.33
xy11-1,Tangela,Pokémon,Basic,80,Grass,,"Slam, Mega Drain",Fire,,Steam Siege,Common,114,,,,0.04,0.25,2.61,0.04,0.02,0.06
bw1-1,Snivy,Pokémon,Basic,60,Grass,,"Tackle, Vine Whip",Fire,Water,Black & White,Common,495,,,,0.47,0.61,3.85,0.62,0.25,0.72
gym2-1,Blaine's Arcanine,Pokémon,Stage 1,90,Fire,Blaine's Growlithe,"Heat Tackle, Firestorm",Water,,Gym Challenge,Rare Holo,59,,,,,,,48.87,9.0,37.79
swsh35-1,Venusaur V,Pokémon,"Basic, V",220,Grass,,"Pollen Bomb, Solar Typhoon",Fire,,Champion's Path,Rare Holo V,3,0.8,1.92,19.99,,,,2.27,1.0,2.17
sm1-1,Caterpie,Pokémon,Basic,50,Grass,,"Nap, Gnaw",Fire,,Sun & Moon,Common,10,,,,0.1,0.25,1.43,0.07,0.02,0.06
ex13-1,Armaldo δ,Pokémon,Stage 2,110,"Fighting, Metal",Anorith,"Delta Edge, Fossil Charge",Grass,,Holon Phantoms,Rare Holo,348,6.88,8.39,15.97,12.74,13.11,15.97,4.75,1.5,5.63
pop6-3,Manaphy,Pokémon,Basic,70,Water,,"Call for Family, Aqua Ring",Lightning,,POP Series 6,Rare,490,1.95,3.47,7.42,,,,12.83,0.79,5.79
ex11-3,Dragonite δ,Pokémon,Stage 2,100,"Lightning, Metal",Dragonair,"Agility, Heavy Impact",Colorless,"Grass, Fighting",Delta Species,Rare Holo,149,62.75,79.75,94.99,98.99,99.99,132.7,31.74,5.5,31.36
ex13-2,Cradily δ,Pokémon,Stage 2,100,"Darkness, Metal",Lileep,"Harsh Fluid, Poison Tentacles",Fire,,Holon Phantoms,Rare Holo,346,6.65,8.0,11.97,4.24,8.98,19.02,8.5,0.45,9.38
gym2-2,Blaine's Charizard,Pokémon,Stage 2,100,Fire,Blaine's Charmeleon,"Roaring Flames, Flame Jet",Water,Fighting,Gym Challenge,Rare Holo,6,,,,,,,218.59,54.0,246.7
det1-3,Morelull,Pokémon,Basic,50,Grass,,Sleep Spore,Fire,,Detective Pikachu,Common,755,0.03,0.25,2.0,,,,0.17,0.02,0.18
pop7-2,Gallade,Pokémon,Stage 2,130,Fighting,Kirlia,"Sonic Blade, Psychic Cut",Psychic,,POP Series 7,Rare,475,2.82,8.61,15.0,,,,7.15,2.0,8.18
col1-2,Deoxys,Pokémon,Basic,80,Psychic,,Cell Storm,Psychic,,Call of Legends,Rare Holo,386,4.58,7.69,10.21,4.31,5.39,9.99,6.39,1.45,10.22
pl1-3,Blaziken,Pokémon,Stage 2,130,Fire,Combusken,"Clutch, Fire Spin",Water,,Platinum,Rare Holo,257,3.33,6.0,10.97,3.31,6.2,7.75,3.67,0.5,3.21
sm115-2,Metapod,Pokémon,Stage 1,90,Grass,Caterpie,Tackle,Fire,,Hidden Fates,Uncommon,11,,,,0.05,0.24,1.32,0.06,0.02,0.03
sm2-1,Bellsprout,Pokémon,Basic,60,Grass,,Vine Whip,Fire,,Guardians Rising,Common,69,,,,0.12,0.25,2.45,0.06,0.02,0.09
ex4-1,Team Aqua's Cacturne,Pokémon,Stage 1,80,"Grass, Darkness",Team Aqua's Cacnea,"Dark Bind, Poison Barb",Fire,,Team Magma vs Team Aqua,Rare Holo,332,6.81,8.17,25.97,8.5,8.96,10.99,4.31,0.5,2.68
bw9-1,Weedle,Pokémon,Basic,50,Grass,,Triple Stab,Fire,,Plasma Freeze,Common,13,,,,0.2,0.64,8.92,0.18,0.02,0.13
ex3-1,Absol,Pokémon,Basic,70,Darkness,,"Bad News, Prize Count",Fighting,Psychic,Dragon,Rare Holo,359,24.7,42.26,46.94,17.05,21.45,34.97,3.0,1.97,9.77
ru1-1,Venusaur,Pokémon,Stage 2,140,Grass,Ivysaur,Giga Drain,Fire,,Pokémon Rumble,,3,60.0,95.0,105.66,,,,30.0,18.99,38.9
hgss1-1,Arcanine,Pokémon,Stage 1,110,Fire,Growlithe,"Sharp Fang, Fire Mane",Water,,HeartGold & SoulSilver,Rare Holo,59,10.97,20.7,35.7,10.91,17.38,46.12,5.53,0.45,5.97
gym1-1,Blaine's Moltres,Pokémon,Basic,90,Fire,,Phoenix Flame,,Fighting,Gym Heroes,Rare Holo,146,,,,,,,41.19,12.0,42.69
base3-1,Aerodactyl,Pokémon,Stage 1,60,Fighting,Mysterious Fossil,Wing Attack,Grass,Fighting,Fossil,Rare Holo,142,,,,,,,13.19,3.0,13.59
dp3-2,Blastoise,Pokémon,Stage 2,120,Water,Wartortle,Hydro Pump,Lightning,,Secret Wonders,Rare Holo,9,15.49,35.37,999.99,9.9,16.49,21.08,13.8,1.9,13.02
xy2-2,Metapod,Pokémon,Stage 1,70,Grass,Caterpie,Harden,Fire,,Flashfire,Uncommon,11,,,,0.35,0.5,2.9,0.13,0.02,0.1
hgss1-2,Azumarill,Pokémon,Stage 1,90,Water,Marill,"Waterfall, Bubblebeam",Lightning,,HeartGold & SoulSilver,Rare Holo,184,1.57,4.95,5.5,1.16,2.21,5.61,3.21,0.1,3.96
det1-2,Ludicolo,Pokémon,Stage 2,140,Grass,Lombre,Punch and Run,Fire,,Detective Pikachu,Rare,272,0.2,0.5,3.95,,,,1.29,0.19,1.38
ru1-2,Cherrim,Pokémon,Stage 1,80,Grass,Cherubi,Solarbeam,Fire,Water,Pokémon Rumble,,421,,,,,,,7.0,4.45,7.65
dp1-1,Dialga,Pokémon,Basic,90,Metal,,"Time Bellow, Flash Cannon",Fire,Psychic,Diamond & Pearl,Rare Holo,483,4.25,8.21,13.61,3.0,5.94,11.49,3.13,0.7,3.95
xy7-1,Oddish,Pokémon,Basic,50,Grass,,Trip Over,Fire,,Ancient Origins,Common,43,,,,0.18,0.45,3.95,0.1,0.02,0.11
dv1-2,Dratini,Pokémon,Basic,40,Dragon,,"Hypnotic Gaze, Tail Whap",Dragon,,Dragon Vault,Rare Holo,147,1.56,3.2,24.95,,,,2.51,0.2,4.19
ecard2-H3,Ariados,Pokémon,Stage 1,70,Grass,Spinarak,Spider Force,Fire,,Aquapolis,Rare Holo,168,,,,,,,12.9,4.99,17.14
sm12-2,Oddish,Pokémon,Basic,60,Grass,,Sweet Scent,Fire,,Cosmic Eclipse,Common,43,,,,0.25,0.57,1.99,0.09,0.02,0.08
si1-2,Pidgeot,Pokémon,Stage 2,70,Colorless,Pidgeotto,"Supersonic Flight, Slicing Wind",Lightning,Fighting,Southern Islands,,18,,,,,,,14.29,10.0,21.26
base3-3,Ditto,Pokémon,Basic,50,Colorless,,,Fighting,Psychic,Fossil,Rare Holo,132,,,,,,,19.94,2.99,17.31
hgss1-3,Clefable,Pokémon,Stage 1,80,Colorless,Clefairy,"Fairy Power, Moon Impact",Fighting,,HeartGold & SoulSilver,Rare Holo,36,1.18,2.58,9.99,1.05,1.41,3.02,3.71,0.5,2.67
gym1-3,Erika's Clefable,Pokémon,Stage 1,70,Colorless,Erika's Clefairy,"Fairy Power, Moon Impact",Fighting,Psychic,Gym Heroes,Rare Holo,36,,,,,,,21.46,6.0,25.51
base5-1,Dark Alakazam,Pokémon,Stage 2,60,Psychic,Dark Kadabra,"Teleport Blast, Mind Shock",Psychic,,Team Rocket,Rare Holo,65,,,,,,,25.46,4.5,20.26
bw11-1,Tangela,Pokémon,Basic,70,Grass,,"Beat, Flog",Fire,Water,Legendary Treasures,Common,114,,,,0.2,0.49,2.6,0.3,0.05,0.26
pop3-1,Blastoise,Pokémon,Stage 2,120,Water,Wartortle,"Smash Turn, Rocket Tackle",Lightning,,POP Series 3,Rare,9,41.89,45.0,150.0,,,,0.0,30.0,87.59
dp4-1,Blaziken,Pokémon,Stage 2,130,Fire,Combusken,"Fire Dance, Flame Kick",Water,,Great Encounters,Rare Holo,257,3.0,6.1,12.0,1.48,3.25,8.25,3.73,0.2,3.82
bw5-1,Bulbasaur,Pokémon,Basic,60,Grass,,"Tackle, Razor Leaf",Fire,Water,Dark Explorers,Common,1,,,,4.2,5.08,6.64,3.97,0.02,3.81
dpp-DP01,Turtwig,Pokémon,Basic,60,Grass,,"Tackle, Razor Leaf",Fire,Water,DP Black Star Promos,Promo,387,2.96,5.5,7.08,,,,,,
swsh1-1,Celebi V,Pokémon,"Basic, V",180,Grass,,"Find a Friend, Line Force",Fire,,Sword & Shield,Rare Holo V,251,0.3,0.98,11.5,,,,1.55,0.5,1.42
base6-1,Alakazam,Pokémon,Stage 2,80,Psychic,Kadabra,Confuse Ray,Psychic,,Legendary Collection,Rare Holo,65,40.0,48.98,59.99,115.0,115.0,115.0,17.25,6.0,18.55
pop9-1,Garchomp,Pokémon,Stage 2,130,Colorless,Gabite,"Dragon Rage, Jet Sword",Colorless,,POP Series 9,Rare,445,,,,,,,3.99,5.0,10.37
mcd19-4,Alolan Sandshrew,Pokémon,Basic,60,Water,,Fury Swipes,Metal,,McDonald's Collection 2019,,27,2.99,3.65,5.58,,,,1.44,0.29,1.16
sm115-3,Butterfree,Pokémon,Stage 2,130,Grass,Metapod,Gust,Fire,,Hidden Fates,Rare,12,,,,0.08,0.46,2.25,0.16,0.02,0.17
base3-4,Dragonite,Pokémon,Stage 2,100,Colorless,Dragonair,Slam,,Fighting,Fossil,Rare Holo,149,,,,,,,56.97,14.99,67.72
det1-4,Charmander,Pokémon,Basic,60,Fire,,Reckless Charge,Water,,Detective Pikachu,Common,4,0.03,0.25,4.99,,,,0.29,0.02,0.24
pop4-2,Deoxys δ,Pokémon,Basic,70,Colorless,,Crystal Laser,Psychic,,POP Series 4,Rare,386,10.55,14.89,29.99,,,,7.74,2.49,15.55
ex12-4,Delcatty,Pokémon,Stage 1,80,Colorless,Skitty,"Energy Link, Tail Whap",Fighting,,Legend Maker,Rare Holo,301,3.75,4.45,6.97,7.89,8.8,18.0,3.28,0.5,6.88
ex3-4,Flygon,Pokémon,Stage 2,120,Colorless,Vibrava,"Energy Shower, Rainbow Burn",Colorless,"Fire, Lightning",Dragon,Rare Holo,330,20.38,29.95,39.97,11.95,15.0,23.95,4.98,2.0,16.88
xy2-4,Pineco,Pokémon,Basic,60,Grass,,Ram,Fire,,Flashfire,Common,204,,,,0.12,0.45,2.95,0.08,0.02,0.06
ex11-4,Espeon δ,Pokémon,Stage 1,70,"Psychic, Metal",Eevee,Psyshock,Psychic,,Delta Species,Rare Holo,196,47.99,119.4,220.0,94.99,99.98,151.51,24.25,5.0,26.1
gym2-3,Brock's Ninetales,Pokémon,Stage 1,70,Fire,Brock's Vulpix,Will-o'-the-wisp,Water,,Gym Challenge,Rare Holo,38,,,,,,,33.54,12.0,37.92
pop1-2,Metagross,Pokémon,Stage 2,100,Metal,Metang,"Metal Claw, Hyper Beam",Fire,Grass,POP Series 1,Rare,376,0.94,2.75,8.0,,,,0.0,3.0,11.9
pl4-2,Froslass,Pokémon,Stage 1,80,Water,Snorunt,Ground Frost,Metal,,Arceus,Rare Holo,478,1.14,2.55,29.97,1.74,3.25,4.99,2.15,0.1,1.78
sm3-2,Metapod,Pokémon,Stage 1,80,Grass,Caterpie,"Ram, Shed Skin",Fire,,Burning Shadows,Uncommon,11,,,,0.04,0.25,2.0,0.06,0.02,0.06
bw10-3,Lileep,Pokémon,Restored,80,Grass,Root Fossil Lileep,Spiral Drain,Fire,Water,Plasma Blast,Uncommon,345,,,,0.5,0.87,1.74,0.33,0.03,0.26
hgss4-4,Drapion,Pokémon,Stage 1,100,Darkness,Skorupi,"Toxic Fang, Land Crush",Fighting,Psychic,HS—Triumphant,Rare Holo,452,1.0,1.72,2.99,0.85,1.47,4.0,2.85,0.1,2.38
ex13-3,Deoxys δ,Pokémon,Basic,70,Darkness,,Energy Loop,Psychic,,Holon Phantoms,Rare Holo,386,6.7,18.58,25.0,37.76,42.88,49.99,11.42,1.9,12.27
bw6-1,Hoppip,Pokémon,Basic,30,Grass,,Flail Around,Fire,Water,Dragons Exalted,Common,187,,,,0.44,0.5,4.2,0.18,0.02,0.17
xy11-4,Skiploom,Pokémon,Stage 1,70,Grass,Hoppip,Splash,Fire,,Steam Siege,Uncommon,188,,,,0.09,0.38,1.47,0.05,0.02,0.04
hgss4-5,Mamoswine,Pokémon,Stage 2,140,Water,Piloswine,"Icy Wind, Snowstorm",Metal,,HS—Triumphant,Rare Holo,473,0.97,1.73,3.4,1.17,1.52,3.29,0.87,0.1,0.71
sm5-3,Yanmega,Pokémon,Stage 1,120,Grass,Yanma,"Supersonic, Cutting Wind",Lightning,Fighting,Ultra Prism,Uncommon,469,,,,0.09,0.31,8.92,0.08,0.02,0.09
pl3-4,Electivire FB,Pokémon,"Basic, SP",90,Lightning,,"Dump and Draw, Electric Current",Fighting,Metal,Supreme Victors,Rare Holo,466,1.97,3.25,7.97,0.97,2.39,4.11,6.0,0.5,3.65
swsh4-2,Kakuna,Pokémon,Stage 1,80,Grass,Weedle,"Shed Skin, Bug Bite",Fire,,Vivid Voltage,Uncommon,14,,,,0.05,0.17,2.95,0.05,0.02,0.03
gym2-4,Erika's Venusaur,Pokémon,Stage 2,90,Grass,Erika's Ivysaur,"Growth, Wide Solarbeam",Fire,,Gym Challenge,Rare Holo,3,,,,,,,62.77,23.49,67.7
pop3-3,Jolteon,Pokémon,Stage 1,70,Lightning,Eevee,"Thundershock, Pin Missile",Fighting,Metal,POP Series 3,Rare,135,7.0,8.15,16.85,,,,9.71,4.95,12.14
base6-3,Charizard,Pokémon,Stage 2,120,Fire,Charmeleon,Fire Spin,Water,Fighting,Legendary Collection,Rare Holo,6,229.99,250.42,337.52,1485.66,3242.94,5000.22,112.13,40.0,122.56
bw4-3,Kricketot,Pokémon,Basic,60,Grass,,"Beat, Double Headbutt",Fire,,Next Destinies,Common,401,,,,0.3,0.5,1.25,0.1,0.02,0.03
