id,name,averageSellPrice,lowPrice,trendPrice,germanProLow,suggestedPrice,reverseHoloSell,reverseHoloLow,reverseHoloTrend,lowPriceExPlus,avg1,avg7,avg30,reverseHoloAvg1,reverseHoloAvg7,reverseHoloAvg30
sm9-1,Celebi & Venusaur-GX,14.06,4.5,14.07,0.0,0.0,,,,5.0,15.0,14.71,13.42,,,
xy2-1,Caterpie,0.07,0.02,0.04,0.0,0.0,,,,0.02,0.1,0.06,0.07,,,
pop6-1,Bastiodon,1.73,0.5,1.58,0.0,0.0,,,,0.84,1.02,2.15,1.66,,,
ecard2-H2,Arcanine,20.0,15.0,47.75,0.0,0.0,,,,25.0,20.0,39.85,51.89,,,
hgss4-2,Altaria,3.41,0.3,4.27,0.0,0.0,,,,0.95,1.61,2.6,2.97,,,
pl1-2,Blastoise,9.0,1.3,7.88,0.0,0.0,,,,5.5,4.93,8.39,7.18,,,
ex3-2,Altaria,13.35,1.0,9.02,0.0,0.0,,,,4.95,4.88,10.46,9.62,,,
dp3-2,Blastoise,14.01,1.9,12.95,0.0,0.0,,,,4.5,10.0,14.07,10.99,,,
base3-2,Articuno,33.26,4.5,29.56,0.0,0.0,,,,24.23,17.5,29.83,31.61,,,
pl3-2,Blaziken FB,8.79,0.5,5.39,0.0,0.0,,,,2.8,1.99,6.39,5.64,,,
ex11-2,Crobat δ,2.85,0.3,2.74,0.0,0.0,,,,2.0,2.0,2.78,3.1,,,
pop6-2,Lucario,2.9,2.0,7.27,0.0,0.0,,,,4.5,10.75,7.47,5.36,,,
xy2-2,Metapod,0.1,0.02,0.13,0.0,0.0,,,,0.02,0.3,0.14,0.14,,,
base4-2,Blastoise,55.11,25.0,64.44,0.0,0.0,,,,59.0,199.99,62.02,56.96,,,
gym1-2,Brock's Rhydon,15.26,2.5,14.88,0.0,0.0,,,,8.0,3.5,16.87,15.51,,,
hgss1-2,Azumarill,3.21,0.1,3.96,0.0,0.0,,,,0.95,4.2,3.29,3.49,,,
det1-2,Ludicolo,1.29,0.19,1.31,0.0,0.0,,,,0.3,1.25,1.22,1.22,,,
sm9-2,Weedle,0.08,0.02,0.11,0.0,0.0,,,,0.02,0.31,0.13,0.1,,,
ex12-2,Aggron,4.1,0.9,3.83,0.0,0.0,,,,3.99,2.5,4.02,5.0,,,
ex7-2,Dark Ampharos,12.25,2.49,23.33,0.0,0.0,,,,17.99,5.0,31.71,21.54,,,
ru1-2,Cherrim,7.0,4.45,7.65,0.0,0.0,,,,7.5,7.0,7.5,6.7,,,
mcd19-2,Alolan Exeggutor,1.63,0.19,1.66,0.0,0.0,,,,0.79,0.37,1.59,1.96,,,
xy5-2,Kakuna,0.13,0.02,0.13,0.0,0.0,,,,0.02,0.09,0.13,0.14,,,
xy11-1,Tangela,0.04,0.02,0.06,0.0,0.0,,,,0.02,0.04,0.03,0.05,,,
ex14-1,Banette,3.35,0.5,2.54,0.0,0.0,,,,1.5,0.4,3.01,2.63,,,
sm12-1,Venusaur & Snivy-GX,8.39,2.0,8.78,0.0,0.0,,,,4.0,5.0,6.29,8.09,,,
bw1-1,Snivy,0.62,0.25,0.72,0.0,0.0,,,,0.45,0.5,0.63,0.65,,,
sm115-1,Caterpie,0.04,0.02,0.03,0.0,0.0,,,,0.02,0.05,0.06,0.06,,,
si1-1,Mew,69.85,23.9,75.77,0.0,0.0,,,,63.0,32.77,65.21,73.73,,,
dp1-1,Dialga,4.19,0.7,3.95,0.0,0.0,,,,2.99,4.2,4.13,4.19,,,
sm3-1,Caterpie,0.04,0.02,0.08,0.0,0.0,,,,0.02,0.28,0.12,0.05,,,
pop7-1,Ampharos,7.45,1.89,6.94,0.0,0.0,,,,2.5,1.99,5.32,5.7,,,
gym2-1,Blaine's Arcanine,49.04,9.0,42.66,0.0,0.0,,,,25.0,49.97,48.12,46.84,,,
col1-1,Clefable,4.48,0.8,7.51,0.0,0.0,,,,1.25,1.6,7.01,5.94,,,
ex9-1,Blaziken,3.3,0.05,2.15,0.0,0.0,,,,0.5,0.85,3.31,3.59,,,
bw10-1,Surskit,0.09,0.02,0.1,0.0,0.0,,,,0.02,0.09,0.09,0.1,,,
swsh35-1,Venusaur V,2.27,1.0,2.17,0.0,0.0,,,,1.0,1.0,2.22,2.2,,,
xy7-1,Oddish,0.11,0.02,0.11,0.0,0.0,,,,0.02,0.1,0.1,0.1,,,
sm1-1,Caterpie,0.06,0.02,0.05,0.0,0.0,,,,0.02,0.05,0.11,0.06,,,
ex13-1,Armaldo δ,6.6,1.5,5.63,0.0,0.0,,,,4.5,6.0,6.52,7.98,,,
dv1-2,Dratini,2.51,0.2,4.19,0.0,0.0,,,,0.34,0.89,2.51,3.07,,,
ecard2-H3,Ariados,12.9,4.99,17.14,0.0,0.0,,,,24.0,11.0,13.34,20.26,,,
sm12-2,Oddish,0.09,0.02,0.08,0.0,0.0,,,,0.02,0.08,0.08,0.06,,,
ex9-2,Deoxys,4.89,0.99,5.23,0.0,0.0,,,,3.0,1.95,5.45,7.46,,,
bw1-2,Snivy,0.15,0.02,0.15,0.0,0.0,,,,0.02,0.35,0.14,0.15,,,
base4-3,Chansey,7.09,3.0,7.82,0.0,0.0,,,,8.99,8.98,8.58,7.47,,,
ru1-3,Ninetales,14.95,9.95,15.42,0.0,0.0,,,,18.0,14.95,16.23,14.33,,,
xy5-3,Beedrill,0.54,0.05,0.62,0.0,0.0,,,,0.05,0.29,0.62,0.45,,,
pop6-3,Manaphy,12.83,0.79,5.79,0.0,0.0,,,,1.15,12.83,4.1,3.79,,,
si1-2,Pidgeot,14.29,10.0,21.26,0.0,0.0,,,,10.0,14.0,22.5,20.0,,,
ex11-3,Dragonite δ,31.15,5.5,31.36,0.0,0.0,,,,19.99,25.0,36.38,32.06,,,
pl3-3,Drifblim FB,3.1,0.49,2.83,0.0,0.0,,,,1.29,7.95,2.9,2.91,,,
base3-3,Ditto,21.67,3.0,16.09,0.0,0.0,,,,15.0,14.57,23.83,22.05,,,
hgss1-3,Clefable,2.95,0.5,2.93,0.0,0.0,,,,0.97,1.6,3.51,2.71,,,
ex13-2,Cradily δ,10.85,0.45,9.29,0.0,0.0,,,,1.09,7.88,8.61,8.06,,,
hgss4-3,Celebi,1.9,0.49,2.13,0.0,0.0,,,,1.0,1.25,1.95,3.31,,,
xy7-2,Gloom,0.15,0.02,0.16,0.0,0.0,,,,0.02,0.2,0.2,0.15,,,
bw10-2,Masquerain,0.38,0.05,0.33,0.0,0.0,,,,0.05,0.3,0.39,0.41,,,
ex7-3,Dark Crobat,8.25,3.0,9.95,0.0,0.0,,,,3.0,4.49,7.71,12.54,,,
ex12-3,Cradily,2.89,0.6,4.06,0.0,0.0,,,,1.99,4.5,2.73,3.65,,,
swsh35-2,Weedle,0.05,0.01,0.09,0.0,0.0,,,,0.01,0.3,0.11,0.06,,,
gym2-2,Blaine's Charizard,270.78,54.0,246.7,0.0,0.0,,,,120.0,225.0,270.82,224.74,,,
xy2-3,Butterfree,0.0,0.1,0.56,0.0,0.0,,,,0.15,0.65,0.5,0.52,,,
xy11-2,Tangrowth,0.05,0.02,0.05,0.0,0.0,,,,0.02,0.12,0.06,0.07,,,
det1-3,Morelull,0.17,0.02,0.18,0.0,0.0,,,,0.02,0.23,0.18,0.18,,,
ex3-3,Crawdaunt,3.29,0.19,2.5,0.0,0.0,,,,1.0,0.2,2.48,2.59,,,
dv1-3,Dragonair,4.54,0.25,4.35,0.0,0.0,,,,0.98,8.5,4.92,3.37,,,
sm9-3,Weedle,0.06,0.02,0.1,0.0,0.0,,,,0.02,0.19,0.17,0.09,,,
pop7-2,Gallade,7.15,2.0,8.18,0.0,0.0,,,,3.5,11.95,8.6,5.84,,,
sm1-2,Metapod,0.11,0.02,0.1,0.0,0.0,,,,0.02,0.12,0.09,0.09,,,
mcd19-3,Magmar,1.39,0.04,1.24,0.0,0.0,,,,0.5,0.79,1.45,1.37,,,
col1-2,Deoxys,8.5,1.45,10.22,0.0,0.0,,,,1.99,1.08,10.22,7.92,,,
pl1-3,Blaziken,3.67,0.5,3.21,0.0,0.0,,,,2.0,3.0,3.7,3.63,,,
sm115-2,Metapod,0.06,0.02,0.03,0.0,0.0,,,,0.02,0.06,0.04,0.07,,,
gym1-3,Erika's Clefable,17.36,6.0,23.79,0.0,0.0,,,,9.0,12.99,25.87,20.22,,,
dp3-3,Charizard,39.0,1.0,25.0,0.0,0.0,,,,27.0,6.0,34.45,31.91,,,
sm2-1,Bellsprout,0.06,0.02,0.09,0.0,0.0,,,,0.02,0.12,0.09,0.05,,,
base5-1,Dark Alakazam,23.38,4.5,20.26,0.0,0.0,,,,26.95,9.0,23.34,23.63,,,
xy4-1,Venonat,0.1,0.02,0.11,0.0,0.0,,,,0.02,0.18,0.09,0.08,,,
bw11-1,Tangela,0.3,0.05,0.26,0.0,0.0,,,,0.05,0.12,0.27,0.2,,,
ex4-1,Team Aqua's Cacturne,4.85,0.5,3.25,0.0,0.0,,,,2.5,1.88,4.43,6.07,,,
bw4-1,Pinsir,0.38,0.1,0.4,0.0,0.0,,,,0.1,0.5,0.39,0.5,,,
bw9-1,Weedle,0.11,0.02,0.13,0.0,0.0,,,,0.02,0.49,0.14,0.12,,,
base1-1,Alakazam,500.72,18.0,270.29,0.0,0.0,,,,189.0,68.95,327.98,201.01,,,
pop3-1,Blastoise,0.0,30.0,87.59,0.0,0.0,,,,35.0,40.0,103.75,51.36,,,
dp4-1,Blaziken,3.96,0.2,3.82,0.0,0.0,,,,2.0,5.95,3.03,3.8,,,
bw7-1,Oddish,0.17,0.02,0.13,0.0,0.0,,,,0.02,0.12,0.15,0.14,,,
ex8-1,Altaria,4.62,0.99,7.21,0.0,0.0,,,,4.97,6.49,5.39,8.5,,,
bw5-1,Bulbasaur,2.64,0.02,3.8,0.0,0.0,,,,0.05,0.53,4.52,2.35,,,
pop5-1,Ho-Oh,19.98,9.99,27.5,0.0,0.0,,,,29.99,37.5,27.87,23.34,,,
sm5-1,Exeggcute,0.08,0.02,0.06,0.0,0.0,,,,0.02,0.02,0.03,0.06,,,
xy10-1,Shuckle,0.09,0.02,0.11,0.0,0.0,,,,0.02,0.1,0.09,0.12,,,
sm8-1,Tangela,0.08,0.02,0.06,0.0,0.0,,,,0.02,0.1,0.09,0.09,,,
hgss2-1,Jirachi,4.98,0.28,4.17,0.0,0.0,,,,0.4,5.0,4.4,4.02,,,
swsh1-1,Celebi V,1.55,0.5,1.63,0.0,0.0,,,,0.5,1.69,1.88,1.55,,,
basep-1,Pikachu,10.95,3.6,9.53,0.0,0.0,,,,5.0,7.0,12.84,10.57,,,
swsh4-1,Weedle,0.03,0.02,0.02,0.0,0.0,,,,0.02,0.02,0.03,0.04,,,
xy1-1,Venusaur-EX,26.24,2.0,16.02,0.0,0.0,,,,3.75,5.99,23.63,9.06,,,
pop1-1,Blaziken,19.75,4.5,18.88,0.0,0.0,,,,8.59,34.49,10.86,17.74,,,
bw8-1,Turtwig,0.19,0.02,0.2,0.0,0.0,,,,0.02,0.45,0.23,0.14,,,
base6-1,Alakazam,17.07,6.0,19.89,0.0,0.0,,,,35.0,31.78,19.73,20.24,,,
pop9-1,Garchomp,3.99,5.0,10.37,0.0,0.0,,,,8.75,3.99,11.05,8.94,,,
pop4-1,Chimecho δ,372.5,350.0,174.71,0.0,0.0,,,,350.0,350.0,174.99,77.91,,,
neo4-1,Dark Ampharos,39.38,7.0,37.3,0.0,0.0,,,,38.0,41.9,28.44,34.34,,,
neo3-1,Ampharos,16.19,4.5,21.36,0.0,0.0,,,,17.0,14.75,18.03,20.5,,,
pl4-1,Charizard,28.89,3.0,25.17,0.0,0.0,,,,14.0,8.2,20.9,22.91,,,
mcd19-4,Alolan Sandshrew,1.44,0.29,1.16,0.0,0.0,,,,0.48,0.5,1.4,1.41,,,
sm115-3,Butterfree,0.16,0.02,0.17,0.0,0.0,,,,0.02,0.03,0.14,0.17,,,
base3-4,Dragonite,50.2,14.99,64.73,0.0,0.0,,,,39.5,33.98,66.94,52.25,,,
ex9-3,Exploud,19.0,1.0,25.61,0.0,0.0,,,,7.8,19.0,19.36,13.94,,,
pop7-3,Latias,5.07,0.25,3.81,0.0,0.0,,,,0.99,0.99,4.65,3.58,,,
pop6-4,Pachirisu,3.0,0.2,1.48,0.0,0.0,,,,0.3,0.99,1.8,0.98,,,
det1-4,Charmander,0.29,0.02,0.25,0.0,0.0,,,,0.02,0.2,0.33,0.3,,,
ex4-2,Team Aqua's Crawdaunt,8.36,1.0,7.14,0.0,0.0,,,,2.99,5.99,6.34,5.5,,,
hgss1-4,Gyarados,6.38,0.5,6.29,0.0,0.0,,,,3.0,7.98,6.54,6.57,,,
xy1-2,M Venusaur-EX,16.74,3.0,14.57,0.0,0.0,,,,6.0,8.99,14.81,11.75,,,
ex8-2,Beautifly,13.36,0.45,11.15,0.0,0.0,,,,3.0,3.0,12.17,7.94,,,
bw5-2,Ivysaur,2.77,0.5,3.03,0.0,0.0,,,,0.6,4.95,2.58,2.42,,,
sm2-2,Weepinbell,0.12,0.02,0.09,0.0,0.0,,,,0.02,0.02,0.11,0.11,,,
pop4-2,Deoxys δ,12.49,2.49,15.55,0.0,0.0,,,,10.0,8.0,14.63,12.57,,,
bw7-2,Gloom,0.2,0.02,0.17,0.0,0.0,,,,0.02,0.17,0.18,0.19,,,
xy4-2,Venomoth,0.22,0.04,0.36,0.0,0.0,,,,0.15,0.25,0.22,0.35,,,
col1-3,Dialga,18.7,0.49,12.67,0.0,0.0,,,,1.0,2.2,14.42,8.16,,,
ex12-4,Delcatty,2.69,0.5,7.54,0.0,0.0,,,,2.45,4.0,3.81,5.1,,,
bw11-2,Tangrowth,0.15,0.1,0.54,0.0,0.0,,,,0.18,0.1,0.42,0.51,,,
pl1-4,Delcatty,2.05,0.5,2.31,0.0,0.0,,,,1.49,3.28,1.72,2.21,,,
swsh35-3,Kakuna,0.06,0.01,0.06,0.0,0.0,,,,0.01,0.02,0.09,0.06,,,
base5-2,Dark Arbok,7.41,0.5,12.01,0.0,0.0,,,,3.45,16.69,13.29,8.81,,,
ecard2-H4,Azumarill,13.75,5.9,27.86,0.0,0.0,,,,18.0,77.5,43.11,37.99,,,
neo4-2,Dark Crobat,19.27,9.9,46.23,0.0,0.0,,,,39.95,41.98,39.85,41.58,,,
ex3-4,Flygon,32.5,2.0,17.72,0.0,0.0,,,,4.5,4.95,19.77,10.86,,,
xy2-4,Pineco,0.08,0.02,0.08,0.0,0.0,,,,0.02,0.02,0.08,0.08,,,
pop5-2,Lugia,34.99,29.98,36.51,0.0,0.0,,,,39.99,39.99,31.42,42.9,,,
base6-2,Articuno,29.67,7.0,17.91,0.0,0.0,,,,24.0,15.0,19.57,15.28,,,
dv1-4,Dragonair,1.58,0.45,4.33,0.0,0.0,,,,0.79,4.5,2.01,3.94,,,
ex11-4,Espeon δ,20.64,5.0,26.1,0.0,0.0,,,,19.0,40.3,24.32,29.87,,,
dp4-2,Cresselia,2.32,0.19,2.5,0.0,0.0,,,,2.0,1.5,1.54,2.11,,,
dp1-2,Dusknoir,3.52,0.39,3.83,0.0,0.0,,,,1.8,2.5,3.82,2.89,,,
gym2-3,Brock's Ninetales,35.6,12.0,37.92,0.0,0.0,,,,13.5,29.5,35.3,32.72,,,
pop1-2,Metagross,0.0,3.0,11.9,0.0,0.0,,,,8.95,5.0,12.35,11.06,,,
si1-3,Onix,22.65,3.2,20.14,0.0,0.0,,,,12.0,23.99,19.68,20.12,,,
dp3-4,Entei,4.39,0.25,5.12,0.0,0.0,,,,1.99,4.33,6.11,3.5,,,
base4-4,Charizard,126.25,60.0,131.06,0.0,0.0,,,,147.95,135.0,145.27,167.54,,,
pl4-2,Froslass,1.89,0.1,1.78,0.0,0.0,,,,0.99,2.0,1.76,2.1,,,
bw8-2,Grotle,0.22,0.02,0.23,0.0,0.0,,,,0.02,0.08,0.22,0.19,,,
pop3-2,Flareon,9.34,3.0,7.34,0.0,0.0,,,,8.49,8.74,8.71,11.78,,,
xy11-3,Hoppip,0.04,0.02,0.04,0.0,0.0,,,,0.02,0.06,0.05,0.04,,,
sm3-2,Metapod,0.04,0.02,0.06,0.0,0.0,,,,0.02,0.24,0.06,0.07,,,
swsh1-2,Roselia,0.05,0.02,0.06,0.0,0.0,,,,0.02,0.02,0.07,0.05,,,
pop9-2,Manaphy,2.36,0.59,0.81,0.0,0.0,,,,0.85,1.45,1.6,1.82,,,
xy7-3,Vileplume,0.73,0.03,0.63,0.0,0.0,,,,0.03,0.45,0.56,0.72,,,
bw10-3,Lileep,0.26,0.03,0.26,0.0,0.0,,,,0.07,0.08,0.26,0.25,,,
bw4-2,Seedot,0.1,0.02,0.1,0.0,0.0,,,,0.02,0.09,0.1,0.09,,,
sm9-4,Kakuna,0.16,0.02,0.15,0.0,0.0,,,,0.02,0.17,0.17,0.15,,,
hgss4-4,Drapion,2.61,0.1,2.38,0.0,0.0,,,,0.5,4.0,2.29,2.19,,,
ex13-3,Deoxys δ,7.83,1.9,10.29,0.0,0.0,,,,8.5,20.0,9.71,11.12,,,
sm5-2,Yanma,0.04,0.02,0.05,0.0,0.0,,,,0.02,0.02,0.03,0.04,,,
sm75-1,Charmander,0.99,0.1,0.9,0.0,0.0,,,,0.14,0.55,0.9,0.88,,,
ex10-1,Ampharos,14.1,1.0,8.27,0.0,0.0,,,,3.99,9.95,10.62,6.59,,,
bw6-1,Hoppip,0.13,0.02,0.17,0.0,0.0,,,,0.02,0.14,0.16,0.14,,,
si1-4,Togepi,27.34,10.99,30.77,0.0,0.0,,,,26.0,20.0,23.55,26.78,,,
bw5-3,Venusaur,4.75,1.0,5.02,0.0,0.0,,,,1.7,7.3,4.69,4.41,,,
dp1-3,Electivire,26.47,29.99,27.14,0.0,0.0,,,,29.99,29.99,23.59,23.59,,,
xy11-4,Skiploom,0.05,0.02,0.04,0.0,0.0,,,,0.02,0.08,0.05,0.08,,,
hgss4-5,Mamoswine,0.9,0.1,0.71,0.0,0.0,,,,0.2,0.18,0.77,0.91,,,
sm12-3,Gloom,0.12,0.02,0.08,0.0,0.0,,,,0.02,0.1,0.1,0.09,,,
ex7-4,Dark Electrode,11.95,6.98,12.96,0.0,0.0,,,,10.0,8.5,11.95,14.05,,,
sm5-3,Yanmega,0.08,0.02,0.09,0.0,0.0,,,,0.02,0.02,0.07,0.08,,,
swsh1-3,Roselia,0.05,0.02,0.04,0.0,0.0,,,,0.02,0.07,0.05,0.06,,,
pl3-4,Electivire FB,3.31,0.5,3.65,0.0,0.0,,,,1.5,6.0,3.53,3.31,,,
hgss1-5,Hitmontop,3.33,0.1,3.02,0.0,0.0,,,,1.5,4.25,2.93,2.37,,,
ex12-5,Gengar,7.13,0.99,11.1,0.0,0.0,,,,3.0,1.9,8.23,7.15,,,
pl4-3,Heatran,3.79,0.1,3.76,0.0,0.0,,,,0.95,1.72,3.71,2.06,,,
bw10-4,Cradily,0.0,0.25,0.73,0.0,0.0,,,,0.25,0.25,0.78,0.79,,,
pop4-3,Flygon,3.19,0.05,2.49,0.0,0.0,,,,1.0,4.75,4.75,3.28,,,
ex3-5,Golem,30.97,1.0,19.52,0.0,0.0,,,,3.98,7.8,22.88,9.63,,,
swsh4-2,Kakuna,0.05,0.02,0.03,0.0,0.0,,,,0.02,0.03,0.05,0.05,,,
xy5-4,Tangela,0.1,0.02,0.15,0.0,0.0,,,,0.02,0.35,0.16,0.12,,,
ex9-4,Gardevoir,4.97,1.2,4.24,0.0,0.0,,,,2.0,2.75,5.02,4.96,,,
ex11-5,Flareon δ,26.89,6.0,16.55,0.0,0.0,,,,19.98,17.63,24.14,23.27,,,
ex4-3,Team Aqua's Kyogre,3.49,0.25,1.6,0.0,0.0,,,,1.6,4.1,2.26,3.54,,,
base3-5,Gengar,41.22,9.0,35.62,0.0,0.0,,,,35.0,49.25,32.08,39.18,,,
dv1-5,Dragonite,5.43,0.3,3.92,0.0,0.0,,,,0.99,1.98,4.22,3.62,,,
dp4-3,Darkrai,2.19,0.5,3.81,0.0,0.0,,,,1.0,5.0,2.52,4.37,,,
dp3-5,Flygon,6.0,0.2,4.88,0.0,0.0,,,,1.8,2.49,3.71,2.96,,,
bw1-3,Servine,0.15,0.02,0.16,0.0,0.0,,,,0.03,0.03,0.17,0.25,,,
ecard2-H5,Bellossom,10.35,4.77,14.69,0.0,0.0,,,,23.99,8.0,17.77,22.41,,,
pop1-3,Rayquaza,27.48,5.0,27.76,0.0,0.0,,,,18.62,21.55,33.08,24.5,,,
gym2-4,Erika's Venusaur,65.07,23.49,67.7,0.0,0.0,,,,46.99,69.98,74.59,66.26,,,
xy4-3,Yanma,0.18,0.02,0.08,0.0,0.0,,,,0.02,0.05,0.17,0.11,,,
ex10-2,Ariados,4.56,1.5,4.6,0.0,0.0,,,,2.8,2.5,4.18,4.64,,,
xy7-4,Bellossom,0.17,0.02,0.21,0.0,0.0,,,,0.02,0.2,0.26,0.2,,,
pl1-5,Dialga,3.89,0.5,4.57,0.0,0.0,,,,2.5,3.0,4.8,3.5,,,
pop3-3,Jolteon,9.71,4.95,12.14,0.0,0.0,,,,7.5,8.29,9.63,10.82,,,
ex8-3,Breloom,9.02,0.8,7.73,0.0,0.0,,,,5.9,3.0,8.16,6.77,,,
basep-2,Electabuzz,4.23,0.07,3.13,0.0,0.0,,,,1.9,2.92,2.79,4.74,,,
base6-3,Charizard,108.32,40.0,124.99,0.0,0.0,,,,98.0,330.0,97.21,108.12,,,
bw4-3,Kricketot,0.09,0.02,0.03,0.0,0.0,,,,0.02,0.05,0.08,0.14,,,
hgss2-2,Magmortar,2.96,0.05,3.29,0.0,0.0,,,,0.7,1.5,3.18,2.4,,,
bw11-3,Shuckle,0.52,0.3,0.48,0.0,0.0,,,,0.3,0.3,0.5,0.42,,,
pop7-4,Latios,2.0,0.4,9.64,0.0,0.0,,,,2.48,2.0,7.77,5.38,,,
ru1-4,Heatran,12.49,3.94,8.75,0.0,0.0,,,,8.0,12.49,8.71,8.68,,,
neo3-2,Blissey,16.66,2.0,13.27,0.0,0.0,,,,16.5,17.06,13.16,19.22,,,
mcd19-5,Lapras,1.77,0.5,1.48,0.0,0.0,,,,1.65,0.41,0.95,2.35,,,
sm8-2,Tangrowth,0.64,0.09,0.42,0.0,0.0,,,,0.1,0.67,0.5,0.43,,,
sm75-2,Charmeleon,0.56,0.1,0.18,0.0,0.0,,,,0.1,0.37,0.48,0.72,,,
sm9-5,Beedrill,0.3,0.07,0.35,0.0,0.0,,,,0.09,0.5,0.44,0.38,,,
bw6-2,Skiploom,0.16,0.02,0.16,0.0,0.0,,,,0.02,0.24,0.16,0.16,,,
neo4-3,Dark Donphan,17.85,10.0,18.24,0.0,0.0,,,,25.0,30.0,17.11,21.01,,,
bw7-3,Vileplume,1.45,0.3,1.74,0.0,0.0,,,,0.9,3.07,1.71,1.97,,,
swsh35-4,Beedrill,0.09,0.02,0.08,0.0,0.0,,,,0.02,0.02,0.08,0.09,,,
pop9-3,Raichu,15.61,4.49,9.92,0.0,0.0,,,,6.5,19.95,10.37,8.45,,,
xy10-2,Burmy,0.05,0.02,0.05,0.0,0.0,,,,0.02,0.02,0.04,0.04,,,
sm115-4,Paras,0.04,0.02,0.03,0.0,0.0,,,,0.02,0.05,0.04,0.05,,,
base1-2,Blastoise,95.77,10.0,73.63,0.0,0.0,,,,50.0,69.5,70.18,93.05,,,
sm3-3,Butterfree,0.11,0.02,0.18,0.0,0.0,,,,0.02,0.06,0.1,0.21,,,
xy2-5,Seedot,0.1,0.02,0.05,0.0,0.0,,,,0.02,0.1,0.1,0.2,,,
xy1-3,Weedle,0.08,0.02,0.12,0.0,0.0,,,,0.02,0.05,0.12,0.09,,,
ex14-2,Blastoise δ,25.63,3.0,22.9,0.0,0.0,,,,8.0,40.0,27.27,24.36,,,
det1-5,Charizard,8.4,3.0,10.19,0.0,0.0,,,,4.5,10.99,12.27,9.38,,,
pl1-6,Dialga,3.14,0.5,3.37,0.0,0.0,,,,3.45,0.99,3.68,3.6,,,
xy5-5,Tangrowth,0.45,0.02,0.3,0.0,0.0,,,,0.02,0.39,0.41,0.36,,,
pop6-5,Rampardos,0.84,0.39,1.15,0.0,0.0,,,,0.59,0.69,1.18,1.12,,,
xy2-6,Nuzleaf,0.1,0.02,0.12,0.0,0.0,,,,0.02,0.05,0.1,0.12,,,
ex14-3,Camerupt,3.83,0.7,4.41,0.0,0.0,,,,1.25,2.0,3.93,3.45,,,
dv1-6,Bagon,11.95,5.99,12.24,0.0,0.0,,,,8.99,11.95,8.77,9.36,,,
ex8-4,Camerupt,3.67,0.15,2.89,0.0,0.0,,,,0.99,2.0,2.48,3.27,,,
dp4-4,Darkrai,3.73,0.15,2.77,0.0,0.0,,,,1.5,1.8,2.53,2.94,,,
